Title,ID,budget,revenue,popularity,runtime,vote_average,vote_count
The Dark Knight,155,185000000,1004558444,72.719,152,8.509,29623
The Lord of the Rings: The Return of the King,122,94000000,1118888979,59.012,201,8.473,21534
The Lord of the Rings: The Fellowship of the Ring,120,93000000,871368364,59.198,179,8.396,22622
Inception,27205,160000000,825532764,81.758,148,8.362,33626
The Lord of the Rings: The Two Towers,121,79000000,926287400,57.144,179,8.378,19667
The Matrix,603,63000000,463517383,63.835,136,8.2,23135
The Empire Strikes Back,1891,18000000,538400000,36.225,124,8.392,15299
Soorarai Pottru,595228,0,0,7.588,149,7.805,59
Star Wars,11,11000000,775398007,102.352,121,8.208,18568
Terminator 2: Judgment Day,280,102000000,520000000,57.992,137,8.097,11275
Shichinin no samurai,346,2000000,346300,20.801,207,8.461,3029
Seppuku,76659,0,0,1.314,42,4.6,9
Sita Ramam,894803,0,0,7.186,158,7.7,37
Gladiator,98,103000000,465361176,52.353,155,8.206,16401
Lï¿½on,578672,0,0,5.737,107,5.6,29
Kaithi,587030,0,0,9.607,147,7.5,78
Avengers: Endgame,299534,356000000,2794731755,102.255,181,8.3,23083
Raiders of the Lost Ark,85,18000000,389925971,40.634,115,7.922,10920
Avengers: Infinity War,299536,300000000,2046239637,215.824,149,8.3,26799
Aliens,679,18500000,183316455,45.757,137,7.921,8412
Oldeuboi,670,3000000,15194593,20.916,120,8.268,7437
The Dark Knight Rises,49026,250000000,1081041287,56.826,165,7.775,20767
Spider-Man: Into the Spider-Verse,324857,90000000,375464627,92.803,117,8.407,12672
Mononoke-hime,128,26500000,159414369,34.381,134,8.34,6933
Shershaah,599925,0,0,10.769,135,7.246,59
Asuran,576928,0,0,5.971,141,7.896,67
Top Gun: Maverick,361743,170000000,1488732821,262.282,131,8.29,6742
Heat,949,60000000,187436818,48.157,170,7.899,6222
Star Wars: Episode VI - Return of the Jedi,1892,32350000,572700000,36.905,135,7.889,14161
Kantara,858485,1934000,60447800,9.223,147,7.538,53
North by Northwest,213,4000000,13275000,15.268,136,7.992,3581
Vikram,578060,0,0,1.188,173,7.0,1
K.G.F: Chapter 2,587412,13000000,90410749,14.383,168,7.649,101
Dangal,360814,10400000,311000000,11.05,161,7.952,816
Ratsasan,412862,0,0,9.285,170,7.579,114
Spider-Man: No Way Home,634649,200000000,1921847111,258.269,148,8.0,17285
Jurassic Park,329,63000000,920100000,22.218,127,7.935,14668
1917,530915,100000000,394638258,37.803,119,7.986,10973
Batman Begins,272,150000000,374218673,46.688,140,7.695,18983
Kill Bill: Vol. 1,24,30000000,180906076,30.601,111,7.971,15744
Indiana Jones and the Last Crusade,89,48000000,474171806,37.265,127,7.8,8833
Die Hard,562,28000000,140767956,36.701,131,7.766,9882
"Lock, Stock and Two Smoking Barrels",100,1350000,28356188,12.227,105,8.134,5898
V for Vendetta,752,54000000,132511035,33.562,132,7.898,13191
Warrior,59440,25000000,23308615,43.773,140,7.836,4028
Kimetsu no Yaiba: Mugen Ressha-Hen,635302,15800000,503063688,237.404,117,8.249,3069
Gangs of Wasseypur,117691,1400000,4100000,10.322,160,7.158,306
Ran,635736,0,0,0.6,20,0.0,0
Vikram Vedha,432139,0,0,8.169,147,7.386,145
Baahubali 2: The Conclusion,350312,31000000,275947313,20.506,168,7.407,610
K.G.F: Chapter 1,564147,0,0,13.673,156,7.506,163
Rangasthalam,461126,7800000,0,5.616,179,7.1,47
Sherlock Jr.,992,0,0,7.584,45,8.116,799
Uri: The Surgical Strike,554600,0,0,8.871,138,7.092,168
Dag II,427008,670000,11378898,10.009,135,7.5,149
Paan Singh Tomar,96398,0,0,7.476,135,7.262,106
Mad Max: Fury Road,76341,150000000,378858340,55.516,121,7.574,20486
Ford v Ferrari,359724,97600000,225508210,36.523,153,8.0,6591
Pirates of the Caribbean: The Curse of the Black Pearl,22,140000000,655011224,87.104,143,7.784,18697
Blade Runner,78,28000000,41722424,38.131,118,7.934,12368
The Terminator,218,6400000,78371200,44.25,108,7.639,11419
Logan,263115,97000000,619021436,46.086,137,7.814,17714
How to Train Your Dragon,10191,165000000,494879471,62.1,98,7.806,11753
Rush,96721,38000000,90247624,26.192,123,7.709,6394
The Iron Giant,10386,70000000,23159305,37.237,86,7.922,4919
Bajrangi Bhaijaan,348892,13000000,150000000,11.424,159,7.829,403
A Wednesday,19703,1400000,3500000,7.446,103,6.987,264
Sholay,12259,408000,4800000,9.794,204,7.0,224
The General,961,750000,1000000,9.157,79,8.007,1029
Major,411404,0,0,1.252,91,7.7,3
Kakushi-toride no san-akunin,1059,0,0,8.023,139,7.981,508
White Heat,15794,1300000,3483000,10.443,114,7.7,393
Hera Pheri,21614,0,0,6.04,156,7.0,201
Thuppakki,143010,11000000,28000000,6.539,165,7.112,76
Kaththi,263475,1600000,0,4.024,167,6.9,74
Sarfarosh,989407,0,0,0.6,0,0.0,0
Everything Everywhere All at Once,545611,25000000,139200000,82.664,140,7.849,4565
Dune: Part One,438631,165000000,402027830,184.925,155,7.801,8784
Blade Runner 2049,335984,150000000,259239658,57.307,164,7.5,11799
Guardians of the Galaxy,447365,250000000,35000000,1529.948,150,8.461,331
Zack Snyder's Justice League,791373,70000000,0,128.357,242,8.212,8811
Deadpool,293660,58000000,783100000,93.619,108,7.603,28304
Casino Royale,36557,150000000,599045960,28.777,144,7.533,9692
The Avengers,24428,220000000,1518815515,123.892,143,7.7,28537
The Revenant,281957,135000000,532950503,36.451,157,7.521,16743
The Incredibles,9806,92000000,631442092,64.043,115,7.702,16177
Kill Bill: Vol. 2,393,30000000,152159461,24.48,136,7.877,12576
The Bourne Ultimatum,2503,70000000,442824138,22.607,115,7.416,6909
Akira,149,10000000,553171,29.671,124,7.95,3524
Bahubali: The Beginning,256040,25130430,90747520,26.907,158,7.562,657
Ip Man,875104,0,0,249.833,76,4.8,6
WolfWalkers,441130,12000000,1266570,17.346,103,8.295,936
Mou gaan dou,11647,125000,3208262,10.768,119,7.217,338
Tropa de Elite,7347,4000000,14759148,42.284,115,8.068,2033
Haider,280795,7000000,11500000,8.943,150,7.125,196
Tropa de Elite 2: O Inimigo Agora ï¿½ Outro,47931,0,63027681,23.435,115,7.826,1622
Andaz Apna Apna,58128,0,0,6.999,160,6.948,181
Karthikeya 2,894762,0,10384945,4.152,145,7.0,16
Sanjuro,11712,0,0,6.163,96,7.972,497
Nefes: Vatan Sagolsun,27957,2000000,13500000,4.184,128,7.092,103
Arjun Reddy,473234,780000,8000000,7.52,187,7.265,83
1 - Nenokkadine,249772,0,0,3.07,176,6.23,63
Avatar,19995,237000000,2923706026,171.406,162,7.569,29028
RRR (Rise Roar Revolt),579974,69000000,160000000,107.485,186,7.832,912
Edge of Tomorrow,137113,178000000,370541256,31.722,114,7.6,12459
Iron Man,1726,140000000,585174222,68.778,126,7.6,24282
Thor: Ragnarok,284053,180000000,855301806,65.237,131,7.599,19033
Children of Men,9693,76000000,70595464,23.196,109,7.603,6290
Star Trek,13475,150000000,385680446,33.785,127,7.431,9108
Wo hu cang long,263341,20000000,0,14.231,103,6.117,569
The Bourne Identity,2501,60000000,214034224,29.1,119,7.453,8339
District 9,17654,30000000,210819611,31.687,112,7.414,8473
The Blues Brothers,525,27000000,115229890,15.604,133,7.745,3696
X-Men: Days of Future Past,127585,250000000,747862775,44.389,132,7.522,14113
The Wild Bunch,576,6244087,638641,14.381,145,7.648,1008
Serbuan maut 2: Berandal,180299,4500000,6566916,19.741,150,7.636,2061
Ying xiong,1058371,0,0,0.6,0,0.0,0
Per un pugno di dollari,391,200000,14500000,17.571,99,7.861,3637
Letters from Iwo Jima,1251,19000000,68673228,13.865,141,7.459,1777
The Adventures of Robin Hood,10907,2033000,3981000,14.292,102,7.466,625
Taeksi woonjunsa,437068,12820005,81927980,17.305,138,8.067,771
Airlift,375290,4500000,32000000,5.033,126,7.1,170
Baby,314389,0,0,7.579,160,6.8,143
Vishwaroopam,117319,17000000,51000000,4.123,147,6.158,76
Avatar: The Way of Water,76600,460000000,2319331580,2244.6,192,7.712,7784
Im Westen nichts Neues,49046,20000000,0,186.545,147,7.769,2620
The Batman,414906,185000000,770945583,202.554,177,7.712,7889
The Gentlemen,522627,22000000,115171795,33.965,113,7.684,4839
Apocalypto,1579,40000000,120654337,62.451,139,7.547,4850
Drive,64690,15000000,78054825,40.921,100,7.567,11316
Dunkirk,374720,0,527000000,26.56,107,7.459,15006
Rogue One,330459,200000000,1056057273,38.614,133,7.487,14006
Thirteen Lives,698948,55000000,0,25.466,147,7.941,964
Star Wars: Episode VII - The Force Awakens,140607,245000000,2068223624,67.179,136,7.3,17973
Ghostbusters,43074,144000000,229147509,26.519,117,5.37,5829
Predator,106,15000000,98267558,48.145,107,7.491,6952
Captain America: Civil War,271110,250000000,1153337496,65.706,147,7.4,21056
Skyfall,37724,200000000,0,39.343,143,7.222,14201
Taken,8681,25000000,226830568,44.606,94,7.383,10136
Captain America: The Winter Soldier,100402,170000000,714766572,38.439,136,7.675,17258
Hot Fuzz,4638,12000000,80573774,20.447,121,7.546,6705
The Fugitive,5503,44000000,368875760,25.347,131,7.457,3673
Ang-ma-reul bo-at-da,49797,0,0,19.711,144,7.798,2134
The Last Samurai,616,140000000,456758981,27.165,154,7.564,6095
The Fighter,45317,25000000,93617009,11.331,116,7.378,3901
Big Hero 6,177572,165000000,657827828,94.605,102,7.739,14402
Serenity,16320,39000000,38869464,14.64,119,7.37,3105
Captain Phillips,109424,55000000,218791811,14.355,134,7.6,6236
How to Train Your Dragon 2,82702,145000000,621537519,62.703,102,7.668,8702
Chugyeokja,13855,120456666,0,11.911,125,7.787,1105
Batman: Mask of the Phantasm,14919,6000000,5617391,12.204,76,7.51,919
"Aguirre, der Zorn Gottes",2000,370000,37041,9.609,95,7.525,923
Cowboy Bebop: Tengoku no tobira,11299,0,0,14.433,115,7.7,725
Dip huet seung hung,10835,0,2350174,8.808,110,7.656,636
Knockin' on Heaven's Door,158,0,0,8.507,87,7.646,421
Minnal Murali,657644,2800000,0,19.445,158,7.174,278
Mission: Impossible - Fallout,353081,178000000,791657398,42.346,147,7.401,7129
Deadpool 2,383498,110000000,785896609,75.241,120,7.492,15856
Kingsman: The Secret Service,207703,81000000,414351546,82.429,129,7.638,15293
Training Day,2034,45000000,104876233,29.81,122,7.471,5145
Black Hawk Down,855,92000000,172989651,28.53,145,7.366,5029
The Last of the Mohicans,9361,40000000,75505856,17.188,112,7.39,2649
Man on Fire,9509,70000000,130293714,33.825,146,7.443,4497
The Lego Movie,137106,60000000,469160692,25.166,100,7.41,7009
The Count of Monte Cristo,11362,35000000,75395048,20.535,131,7.655,1538
First Blood,1368,15000000,125212904,26.752,93,7.469,5435
The Magnificent Seven,333484,90000000,162360636,41.596,132,6.408,5403
X: First Class,691677,0,0,8.163,30,6.9,23
The Bourne Supremacy,2502,75000000,288500217,24.618,108,7.309,6752
3:10 to Yuma,5176,55000000,70016220,16.288,122,7.198,3131
Goldfinger,658,2500000,124881062,20.214,110,7.352,3129
Star Trek Into Darkness,54138,190000000,467365246,30.003,132,7.331,8400
The Boondock Saints,8374,6000000,50000000,12.167,108,7.25,2102
Dirty Harry,984,4000000,35976000,16.988,102,7.5,2095
Star Trek II: The Wrath of Khan,154,12000000,96800000,12.144,113,7.5,1666
