Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
The Dark Knight,155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-14,152,185000000,1004558444,"['Drama', 'Action', 'Crime', 'Thriller']","['DC Comics', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']","['United Kingdom', 'United States of America']","['English', '普通话']",Welcome to a world without rules.,8.509,29623
The Lord of the Rings: The Return of the King,122,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",2003-12-01,201,94000000,1118888979,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",['English'],The eye of the enemy is moving.,8.473,21534
The Lord of the Rings: The Fellowship of the Ring,120,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,179,93000000,871368364,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",['English'],One ring to rule them all,8.396,22622
Inception,27205,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,148,160000000,825532764,"['Action', 'Science Fiction', 'Adventure']","['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']","['United Kingdom', 'United States of America']","['日本語', 'Kiswahili', 'English']",Your mind is the scene of the crime.,8.362,33626
The Lord of the Rings: The Two Towers,121,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002-12-18,179,79000000,926287400,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",['English'],A New Power Is Rising.,8.378,19667
The Matrix,603,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",1999-03-30,136,63000000,463517383,"['Action', 'Science Fiction']","['Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures', 'Warner Bros. Pictures']",['United States of America'],['English'],Welcome to the Real World.,8.2,23135
The Empire Strikes Back,1891,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1980-05-20,124,18000000,538400000,"['Adventure', 'Action', 'Science Fiction']",['Lucasfilm Ltd.'],['United States of America'],['English'],The Adventure Continues...,8.392,15299
Soorarai Pottru,595228,Soorarai Pottru,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",2020-11-12,149,0,0,"['Drama', 'Action']","['2D Entertainment', 'Sikhya Entertainment']",['India'],['தமிழ்'],,7.805,59
Star Wars,11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977-05-25,121,11000000,775398007,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm Ltd.', '20th Century Fox']",['United States of America'],['English'],"A long time ago in a galaxy far, far away...",8.208,18568
Terminator 2: Judgment Day,280,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",1991-07-03,137,102000000,520000000,"['Action', 'Thriller', 'Science Fiction']","['Lightstorm Entertainment', 'Carolco Pictures', 'Pacific Western', 'Le Studio Canal+', 'T2 Productions']","['France', 'United States of America']","['English', 'Español']",It's nothing personal.,8.097,11275
Shichinin no samurai,346,Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",1954-04-26,207,2000000,346300,"['Action', 'Drama']",['TOHO'],['Japan'],['日本語'],The Mighty Warriors Who Became the Seven National Heroes of a Small Town,8.461,3029
Seppuku,76659,Beautiful Swordswomen: Double Seppuku,"The only difference with this one as opposed to the other ""entries"" - is this one has 2 girls committing suicide, and they are outdoors and wearing samurai style outfits as opposed to Japanese robes or some other ""costume"". Also, they stab themselves with samurai swords instead of the typical shorter ritual knives...",1990-01-01,42,0,0,['Horror'],['Right Brain'],['Japan'],['日本語'],Multiple Suicide | Battlefield | Japanese Woman,4.6,9
Sita Ramam,894803,Sita Ramam,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.",2022-08-05,158,0,0,"['Romance', 'Drama']","['Vyjayanthi Movies', 'Swapna Cinema']",['India'],['తెలుగు'],A love story written with war,7.7,37
Gladiator,98,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",2000-05-04,155,103000000,465361176,"['Action', 'Drama', 'Adventure']","['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz', 'DreamWorks Pictures']","['United Kingdom', 'United States of America']",['English'],A hero will rise.,8.206,16401
Lï¿½on,578672,L♡DK: Two Loves Under One Roof,"Aoi Nishimori and Shūsei Kugayama are in love and they begin to live together secretly. Suddenly, Shūsei's cousin, Reon Kugayama, comes to them. Their secret is discovered by Reon. Now, Aoi, Shūsei, and Reon begin to live together.",2019-03-21,107,0,0,['Romance'],['Victory (II)'],['Japan'],['日本語'],,5.6,29
Kaithi,587030,Kaithi,"Dilli, a convicted criminal, is out on parole to meet his daughter. However, a drug bust sets him off on a mission to save the life of police officers.",2019-10-25,147,0,0,"['Action', 'Thriller']","['Dream Warrior Pictures', 'Vivekandanda Pictures']",['India'],"['தமிழ்', 'తెలుగు']",,7.5,78
Avengers: Endgame,299534,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",2019-04-24,181,356000000,2794731755,"['Adventure', 'Science Fiction', 'Action']",['Marvel Studios'],['United States of America'],"['English', '日本語', '']",Avenge the fallen.,8.3,23083
Raiders of the Lost Ark,85,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",1981-06-12,115,18000000,389925971,"['Adventure', 'Action']","['Paramount', 'Lucasfilm Ltd.']",['United States of America'],"['English', 'Español', 'Deutsch', 'עִבְרִית', 'العربية', '']",Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,7.922,10920
Avengers: Infinity War,299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25,149,300000000,2046239637,"['Adventure', 'Action', 'Science Fiction']",['Marvel Studios'],['United States of America'],"['English', '']",An entire universe. Once and for all.,8.3,26799
Aliens,679,Aliens,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",1986-07-18,137,18500000,183316455,"['Action', 'Thriller', 'Science Fiction']","['Brandywine Productions', 'SLM Production Group', '20th Century Fox']",['United States of America'],['English'],This time it's war.,7.921,8412
Oldeuboi,670,Oldboy,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",2003-11-21,120,3000000,15194593,"['Drama', 'Thriller', 'Mystery', 'Action']","['Show East', 'CJ Entertainment', 'Egg Film', 'Cineclick Asia']",['South Korea'],['한국어/조선말'],"Laugh, and the world laughs with you. Weep, and you weep alone.",8.268,7437
The Dark Knight Rises,49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012-07-16,165,250000000,1081041287,"['Action', 'Crime', 'Drama', 'Thriller']","['Syncopy', 'Legendary Pictures', 'DC Entertainment', 'Warner Bros. Pictures']",['United States of America'],['English'],The Legend Ends,7.775,20767
