Title,belongs_to_collection,genres,original_lang,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken langs,tagline,vote_average,vote_count,Unnamed: 15
13 Hours,0,"Horror, Thriller, Mystery",en,"As five underworld heavies settle in for an all night stay at an abandoned warehouse and former film studio, a series of bizarre and unsettling occurrences quickly lead them to believe they are not alone. It was supposed to be a simple night of babysitting a single hostage, but when a series of numbers began to appear on the walls things soon took a dark turn. Later, after the hostage escapes, the perplexed thugs not only learn that there is a rat in the ranks, but also discover the unsettling nature of the films that were shot in the warehouse. Now, as terror takes hold, the thieves are about to discover that they are being stalked from the shadows and that their odds of living to see daybreak are shrinking with each passing minute.Written by Jason Buchanan, All Movie Guide",3.657,Crotalus Productions,United States of America,28-10-2008,0,92,English,Their lives were snuffed out. . . now they're back for vengeance!,6.435,23.0,
X-Men,1,"Action, Adventure, Science Fiction, Fantasy",en,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",38.642,"The Donners' Company, Bad Hat Harry Productions, Genre Films, Hutch Parker Entertainment, 20th Century Fox",United States of America,18-05-2016,543934787,144,"العربية, English, Deutsch, Polski, Pусский, Kiswahili",Only the strong will survive.,6.514,11952.0,
Minnal Murali,0,"Action, Comedy, Fantasy",ml,A tailor gains special powers after being struck by lightning but must take down an unexpected foe if he is to become the superhero his hometown in Kerala needs.,14.677,Weekend Blockbusters,India,16-12-2021,0,158,"English, ",,7.174,278.0,
KÃ´kaku KidÃ´tai,0,"Action, Adventure, Animation, Crime, Science Fiction, Thriller",ja,"An original story in the Ghost In The Shell franchise; an effort to the sensation of being in another world, meshing future technologies with art.  A World of Purity: Holy Ground. ""To end the war and protect my wife, I must delete you all…""  Japan, 2025. Technology has been advancing more and more rapidly.  ""Brain cyberization"" that makes possible direct connections to information networks via the brain, the technology of ""prosthetic bodies"" that allows humans to change their body parts into cybernetical ones; in this world where such scientific advances have become common, a bombing attack threat is sent to the Japanese government.  The target is an international meeting involving dignitaries from the Republic of Kuzan. The case is entrusted to the Ministry of Home Affairs' Public Security Section 9.  Section 9's leader, the full-cyborg Motoko Kusanagi, assembles her team and heads off to trap and eliminate the terrorist.",0.983,"Production I.G, Kodansha",Japan,02-02-2016,0,10,日本語,Experience a new sensation. The sensation of becoming someone else.,7.222,9.0,
District 9,0,Science Fiction,en,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",35.042,"TriStar Pictures, Block / Hanson, WingNut Films, District 9","New Zealand, South Africa, United States of America",05-08-2009,210819611,112,"Afrikaans, , , , isiZulu, English",You are not welcome here.,7.414,8481.0,
"Aguirre, der Zorn Gottes",0,"Adventure, Drama, History",de,"A few decades after the destruction of the Inca Empire, a Spanish expedition led by the infamous Aguirre leaves the mountains of Peru and goes down the Amazon River in search of the lost city of El Dorado. When great difficulties arise, Aguirre’s men start to wonder whether their quest will lead them to prosperity or certain death.",15.289,"Werner Herzog Filmproduktion, HR","Germany, Mexico, Peru",29-12-1972,37041,95,"Español, , Deutsch",A breathtaking journey into the heart of darkness.,7.525,924.0,
The Martian,0,"Drama, Adventure, Science Fiction",en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",44.871,"Scott Free Productions, Genre Films","United Kingdom, United States of America",30-09-2015,630600000,141,"English, 普通话",Bring Him Home,7.672,18104.0,
The Gentlemen,0,"Comedy, Crime, Action",en,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",32.298,"Miramax, Toff Guy Films, STX Films","United States of America, United Kingdom",01-01-2020,115171795,113,English,Criminal. Class.,7.684,4846.0,
Batman: Mask of the Phantasm,1,"Action, Animation, Crime, Mystery",en,"When a powerful criminal, who is connected to Bruce Wayne's ex-girlfriend, blames the Dark Knight for killing a crime lord, Batman decides to fight against him.",15.166,Warner Bros. Family Entertainment,United States of America,25-12-1993,5617391,76,English,The Dark Knight fights to save Gotham city from its deadliest enemy.,7.5,919.0,
The Princess Bride,0,"Adventure, Family, Fantasy, Comedy, Romance",en,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",21.804,"The Princess Bride Ltd., Buttercup Films Ltd., Act III Productions",United States of America,25-09-1987,30861665,99,English,It's as real as the feelings you feel.,7.661,4031.0,
