Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10,Input,Review,Summaries
13 Hours,Mr. Nobody,Incendies,The Third Man,Awakenings,The Blues Brothers,Sinister,Mr. Smith Goes to Washington,Annie,The Jungle Book,The Great Dictator,"Yes, I believe you would enjoy The Great Dictator based on the movies you have watched. This 1940 classic is a political satire that stars and is directed by Charlie Chaplin. Chaplin plays both a Jewish barber and a dictator named Adenoid Hynkel. The movie is a critique of fascism, totalitarianism, and anti-Semitism. It is a powerful and important film that still resonates today. It is also full of Chaplin's trademark physical comedy, so it is a great mix of satire and humor.","is the suspense thriller and there is the monster horror nuclear war were to happen that'll be me, my family loved Steven Spielberg's 2005 version of WAR OF THE WORLDS if it had more action then this movie would have Horror Lovers You Must See This As This Film Will ""10 Cloverfield Lane"" was shrouded in almost complete mystery from Effects 3/5 Story /5 Comedy 0/5 When you think about characters are awfully boring watch, unless its filled with romance Cast Of Pretty Much 4 People In The Whole Film. mute, no dialogue, nor sound effects just lame orchestrated music"
13 Hours,Mr. Nobody,Incendies,The Third Man,Awakenings,The Blues Brothers,Sinister,Mr. Smith Goes to Washington,Annie,The Jungle Book,Evil Dead II,"Based on your movie history, you would likely enjoy the horror-comedy Evil Dead II. The movie follows the story of Ash, who is trapped in a cabin with a group of cursed objects, and must battle a horde of demonic creatures in order to survive. The movie is a combination of horror, comedy, and suspense, meaning it has something for everyone. If you enjoy the horror and suspense of Sinister and the comedy of The Blues Brothers, then you are sure to appreciate the combination of both in this movie. The special effects and makeup are also impressive, making it a truly memorable experience.","the original author and the comedy The Taming of the to romance Larisa Oleynik, whom is not allowed to date music throughout, so much so that it really does have Of course, like any other high school drama what starts Romantic Comedy movie starring Late Heath Ledger, Julia Stiles, Joseph-Gorden with gender war rhetoric, pretending she's better than everyone around MOVIE OF ALL TIME
WATCHED IT MORE THAN 10 TIMES
NEVER GETS It has about as many surprises as ""The Nutcracker"", but And you know how most romantic comedies are shallow, stereotypical, TO WANT ME, originally preformed by Cheap Trick.<br/><br/>Please watch this"
13 Hours,Mr. Nobody,Incendies,The Third Man,Awakenings,The Blues Brothers,Sinister,Mr. Smith Goes to Washington,Annie,The Jungle Book,Duck Soup,"Yes, you would enjoy Duck Soup. This Marx Brothers comedy is a classic satire of politics and war. Set in the fictional kingdom of Freedonia, the movie follows the adventures of the newly-appointed Prime Minister, Rufus T. Firefly, as he attempts to deal with a neighboring country’s threats of war. The movie is full of witty dialogue and Physical comedy, making it a timeless classic. Its themes of political satire and absurdity are sure to be appreciated by any fan of classic comedies such as those you mentioned.","and music that intensifies the drama almost to the breaking would rate this movie as Thriller or even Action Movie. Perfect Strangers, Family Matters, The Dead Zone, Early Edition, The THE FOLLOWING HALF OF MY TEXT MIGHT SPOIL THE FILM action sequences of today's movies might impress your eyes, but family film suitable for all useful for all no bad entire crime was narrated so perfectly not by actually showing 99 Acting 97 Cinematography 79 Music 78 Screenplay 99 This mystery slowly progresses with details coming out every 10 minutes. jury-room Drama Starring Henry Fonda,Martin Balsam among others.Sydney Lumet Directed"
13 Hours,Mr. Nobody,Incendies,The Third Man,Awakenings,The Blues Brothers,Sinister,Mr. Smith Goes to Washington,Annie,The Jungle Book,Gone Baby Gone,"Yes, I would enjoy Gone Baby Gone based on the history of movies I have watched. It is an intense crime thriller directed by Ben Affleck, with a great cast and a gripping plot. It follows two Boston detectives who are hired to investigate the kidnapping of a four-year-old girl. It is an emotional film that explores morality and justice, and the choices people make when faced with difficult situations. The movie has a lot of suspense and tension, and the acting is superb. The plot is complex and thrilling, and the movie does an excellent job of depicting the struggles of everyday people in a gritty, urban setting. I think based on the movies I have watched, I would enjoy Gone Baby Gone.","message to the future, the music turns the action into directed not only science fiction, but also drama and thriller The Survivors Will Abandon The Surface of The Planet ... about this movie is that this movie has its mystery THE HAMSTER FACTORY AND OTHER TALES OF THE TWELVE MONKEYS trash??<br/><br/>i think Terry Gilliam should have just stayed with comedy for time travel what 2001 did for space movies: It And they two together meet Kathryn when Kathryn tell James Of Approval Studio: Universal Pictures, Atlas Entertainment, Classico Starring: Bruce give you one really good advice DO NOT READ ABOUT"
X-Men,Woman in Gold,Bride of Frankenstein,Back to the Future Part II,For Love of the Game,To Kill a Mockingbird,The Prestige,Romeo and Juliet,Deadpool 2,El orfanato,WALL·E,"Yes, I think you would enjoy watching WALL·E. It is a fun, witty, and visually stunning movie with a powerful story at its core. The movie follows a robot as he embarks on a journey to save Earth from its own destruction and ultimately finds love along the way. The movie incorporates elements of many of the movies you have already watched, such as the action and adventure of X-Men, the romance of Romeo and Juliet, the suspense and mystery of The Prestige, and the comedy of Deadpool 2. It is a heartwarming tale that touches on themes of environmentalism and human connection, making it a great choice for someone with your movie history.","the highs are the action scenes and not the development IN ACTION or THE DELTA FORCE).<br/><br/>Not only that, but with War Action movie of = Taliban so far, I've seen Jerry Bruckheimer's produced true telling war drama 12 Strong, based The fighting is geared to be cinematic rather than being It will feel great for those among you who like spoiler free<br/><br/>*** (3/5)<br/><br/>BRAVERY, POWER AND strength take their hold through just felt there was something missing throughout this movie.<br/><br/>I had they could've been honored better on-screen if we knew more All da good guys live & all da bad guys"
X-Men,Woman in Gold,Bride of Frankenstein,Back to the Future Part II,For Love of the Game,To Kill a Mockingbird,The Prestige,Romeo and Juliet,Deadpool 2,El orfanato,Creed II,"Yes, I think I would enjoy Creed II. Based on my past movie history, I think that I would appreciate the themes of overcoming adversity and perseverance that are present in the film. It is a story of a young boxer, Adonis Creed, who is trying to make his own name in the boxing world, while also being the son of a boxing legend, Apollo Creed. The film also has elements of family, friendship, and loyalty which I find very inspiring and enjoyable. Additionally, the film has some great action scenes and fights that I think I would enjoy. All in all, I think I would have a great time watching Creed II.","my horror of the harshness of the movie and the drama about American slaves"" (Peter Bradshaw, The Guardian) is its Crime so I was lucky to be able to tag most gloatingly sadistic mainstream release since THE PASSION OF THE film will not only inspire critical thought, but critical action comedy offering that ""I didn't feel like seeing black Americans And yet there were people who treated them with respect WE WILL NOT LET IT RISE AGAIN NOT THIS TIME stellar line up expect for Lupita Nyong'o AND SHE WON Mandela:Long Walk To Freedom 2013 by Idris Elba.<br/><br/>Overall 12 Years"
X-Men,Woman in Gold,Bride of Frankenstein,Back to the Future Part II,For Love of the Game,To Kill a Mockingbird,The Prestige,Romeo and Juliet,Deadpool 2,El orfanato,The Babadook,"Yes, I would enjoy The Babadook based on my history of movie watching. It is a horror movie that explores the dark side of human nature and uses fear and suspense to create a unique and thrilling atmosphere. The film's inventive use of visual effects, sound design, and cinematography all combine to create an intense and immersive experience. It also contains a powerful emotional core and a subtle psychological exploration of how we deal with grief and loss. In addition, the movie has received nearly universal critical praise and awards recognition. All of these elements make it an excellent choice for a movie night.","the drama of be trapped, the transformation of a adventure Franco seems to go back and forth with comedy and THE BASIC STORY, THEN THE SPOILER IS OBVIOUS AND THIS help make this film more intense than any horror film was born, every breath that I've taken, every action has look away)<br/><br/>It's Not An Action Movie: So if you came The movie does run its course eventually, though, but it's To fill space, we are shown what Aron's thinking about, In another hallucinatory scene, Boyle introduces some comic relief by 127 Hours my drama-tingles weren't really tingling, perhaps because my"
X-Men,Woman in Gold,Bride of Frankenstein,Back to the Future Part II,For Love of the Game,To Kill a Mockingbird,The Prestige,Romeo and Juliet,Deadpool 2,El orfanato,1408,"Yes, I believe you would enjoy 1408, based on your history of movies. 1408 is a psychological thriller starring John Cusack and Samuel L. Jackson. It follows a writer who is investigating a haunted room in a New York City hotel. The movie is filled with suspense and psychological horror, making it perfect for fans of horror and thrillers. The movie also features a unique twist to the traditional horror formula, making it unpredictable and exciting. Furthermore, the scenery and tension in the movie is highly praised and will keep you on the edge of your seat. Overall, 1408 is a great addition to your movie collection and will surely be enjoyable.","the action is the main part of the story, the The Transformers franchise, The Island, Pearl Harbor, Armageddon, The Rock THEY NOT PUTTING WET TOWELS AT THE BOTTOM OF THE too many comedy elements that didn't belong.<br/><br/>The film has some drama only exists when we aren't distracted by superficial artifice. action-based modern-day military thriller I've seen since BLACK HAWK DOWN combined with how well this movie was done, this movie And say what you will about Michael Bay's films, but In other words, just your average American!!!<br/><br/>It would have been Was not expecting much, honestly.<br/><br/>Incredible movie, excellent acting, fast paced,"
X-Men,Woman in Gold,Bride of Frankenstein,Back to the Future Part II,For Love of the Game,To Kill a Mockingbird,The Prestige,Romeo and Juliet,Deadpool 2,El orfanato,Changeling,"Yes, I would enjoy Changeling. I have watched a variety of different movies, from romance to horror, to action and science fiction, so I believe I would appreciate Changeling's genre of mystery-drama. The film is based on true events, which I find fascinating, and it follows a mother's fight to find her son. I am a fan of suspenseful stories and I like being able to connect with the characters, so I think I would enjoy this movie. Additionally, the themes of justice and perseverance are ones that I find inspiring, so I believe I would have a positive experience with Changeling.","the movie is the mystery and the happenings within the captivating dialogs, but whenever there was action instead of drama well A seriously atmospherically creepy psychological horror thriller & one The only word that comes to mind to describe this BUT IT WAS IN THE TRAILER) snow filled room attempting out there: THIS MOVIE IS NOT REALLY STEPHEN KING'S WORK. namely ""That Feeling, You Can Only Say What It Is And if you have children, you probably (hopefully, since unpleasantness for Cusack<br/><br/>+3 for plot<br/><br/>+2 for supporting acting John Cusack stars To summarize it:perfect acting, nice camera work, good directing, Stephen"
X-Men,Woman in Gold,Bride of Frankenstein,Back to the Future Part II,For Love of the Game,To Kill a Mockingbird,The Prestige,Romeo and Juliet,Deadpool 2,El orfanato,The Lego Movie,"Yes, I believe you would enjoy The Lego Movie based on your movie watching history. This animated comedy is filled with action, adventure, and humor, which are all elements present in many of the movies you have watched. Additionally, it has a good moral message about the power of imagination and creativity, which is a theme common in many of the movies you have watched, such as Back to the Future Part II, To Kill a Mockingbird, and El Orfanato. The Lego Movie is an exciting and entertaining movie that you will likely enjoy.","the movie lacks both drama and tension and the action The Movie
Realistic Fighting
Cinematography<br/><br/>DISLIKES:<br/><br/>Not For The Faint Of Heart
Missing Some Action OF THE STORY YOUR SUPPOSED TO KILL THE ENEMY NOT horror of war, we should be afraid of war more action/journey adventure film since it's not about combat itself but thriller filled with non-stop tense moments as Lance Corporal Blake almost every genre, including comedy (Away We Go (2009)), period Shot Is In My Opinion Perfectly Executed To Tell This shot so accurately that you will realise that you are Will Give You Bone Chilling Experiece With Captivating Screenplay And"
